time,10m_u_component_of_wind,10m_v_component_of_wind,2m_temperature,surface_pressure,total_precipitation,surface_net_solar_radiation,total_cloud_cover,evaporation,soil_temperature_level_1,snowfall
12/31/2014 18:00,,,,,0,209319.88,,-2.39E-06,,0
1/1/2015 0:00,0.84191394,-2.165184,258.12305,79813.69,,,0,,268.63574,
1/1/2015 6:00,,,,,0,3.60E-12,,5.95E-07,,0
1/1/2015 12:00,1.641675,-0.72683793,255.69136,79657.56,,,0,,262.79248,
1/1/2015 18:00,,,,,0,173752.5,,-4.84E-07,,0
1/2/2015 0:00,0.9758811,-1.4410496,264.57812,79843.5,,,0,,269.52124,
1/2/2015 6:00,,,,,0,3.60E-12,,9.54E-07,,0
1/2/2015 12:00,0.7543115,1.1164083,257.14355,79832.75,,,0.24891585,,263.52344,
1/2/2015 18:00,,,,,0,179692.75,,-3.13E-07,,0
1/3/2015 0:00,0.9996744,-0.7990027,269.4878,79735.19,,,0,,271.2329,
1/3/2015 6:00,,,,,0,3.60E-12,,1.69E-06,,0
1/3/2015 12:00,1.7393904,1.4845161,258.5398,79892.375,,,0.22094429,,265.27197,
1/3/2015 18:00,,,,,0,184823.31,,-3.97E-07,,0
1/4/2015 0:00,0.6885984,0.27737486,273.68848,80116.44,,,0.016975883,,272.1355,
1/4/2015 6:00,,,,,0,3.60E-12,,2.79E-06,,0
1/4/2015 12:00,0.5871008,2.6450186,262.29272,80369.25,,,0.7090561,,266.31226,
1/4/2015 18:00,,,,,0,187510.56,,-1.76E-06,,0
1/5/2015 0:00,1.2291765,0.19802946,276.75146,80645.875,,,0.88859564,,272.89966,
1/5/2015 6:00,,,,,0,3.60E-12,,2.06E-06,,0
1/5/2015 12:00,1.1985941,2.2224627,264.1753,80837.75,,,0.94651085,,268.17505,
1/5/2015 18:00,,,,,0,170655.75,,-1.63E-06,,0
1/6/2015 0:00,0.0535188,0.6202744,280.26343,80925.06,,,0.97014976,,273.9297,
1/6/2015 6:00,,,,,0,3.60E-12,,1.06E-06,,0
1/6/2015 12:00,-0.14046884,1.4835596,270.28345,81043.94,,,0.9952468,,269.8474,
1/6/2015 18:00,,,,,0,272958.94,,-4.30E-06,,0
1/7/2015 0:00,-1.1130075,0.22135365,282.3977,80886.19,,,0.7921322,,275.6228,
1/7/2015 6:00,,,,,0,3.60E-12,,2.32E-06,,0
1/7/2015 12:00,-0.8801835,1.4510641,270.21094,80930.56,,,0.21031016,,269.9165,
1/7/2015 18:00,,,,,0,314047.2,,-3.21E-06,,0
1/8/2015 0:00,-0.75418633,0.25999558,283.48047,80638.31,,,0.24287343,,276.69458,
1/8/2015 6:00,,,,,0,3.60E-12,,4.44E-06,,1.54E-07
1/8/2015 12:00,0.39356047,1.2161961,265.19604,80332.25,,,0.68078464,,270.0564,
1/8/2015 18:00,,,,,0,364818.06,,-8.69E-06,,0
1/9/2015 0:00,-0.031126425,-0.92130333,281.78564,80109.19,,,0.27292216,,276.76025,
1/9/2015 6:00,,,,,1.59E-06,3.60E-12,,6.05E-06,,1.48E-06
1/9/2015 12:00,0.18645114,1.4750051,266.25073,79980.875,,,1,,270.74414,
1/9/2015 18:00,,,,,0,375621.94,,-7.34E-06,,0
1/10/2015 0:00,-0.28793204,-0.2762434,282.19482,79800.44,,,0.8174626,,276.99487,
1/10/2015 6:00,,,,,3.28E-05,3.60E-12,,2.69E-06,,1.98E-08
1/10/2015 12:00,0.5307577,1.3833103,273.1045,79693.44,,,0.9979666,,272.12622,
1/10/2015 18:00,,,,,1.10E-05,290418.12,,-1.88E-05,,0
1/11/2015 0:00,0.18748772,-0.7269255,280.02197,79659.75,,,0.6785184,,277.47998,
1/11/2015 6:00,,,,,0,3.60E-12,,1.69E-06,,4.57E-08
1/11/2015 12:00,0.6717477,1.6939487,273.13477,79731.56,,,0.988708,,272.20483,
1/11/2015 18:00,,,,,4.30E-05,371553.62,,-3.11E-05,,0
1/12/2015 0:00,0.5154605,-0.32564986,281.1316,79876.875,,,0.43018055,,277.95532,
1/12/2015 6:00,,,,,0.00011882007,3.60E-12,,6.16E-07,,1.62E-06
1/12/2015 12:00,1.2457561,1.207531,275.14087,79927.625,,,0.9989364,,272.91626,
