group,variable,importance
decoder,doy_sin,591.1103515625
decoder,month_sin,71.90585327148438
decoder,month_cos,60.500221252441406
decoder,doy_cos,40.61024856567383
decoder,relative_time_idx,37.873382568359375
encoder,total_precipitation_sum,138.39727783203125
encoder,water_level_lag_7,96.88703918457031
encoder,2m_temperature_mean,54.897403717041016
encoder,modflow_scaled,47.18583679199219
encoder,modflow_residual_lag_1,42.04787826538086
encoder,surface_pressure_mean,39.44871139526367
encoder,water_level_rmean_180,39.145164489746094
encoder,doy_sin,37.44222640991211
encoder,month_cos,35.978790283203125
encoder,water_level_target_delta,34.164634704589844
encoder,water_level_lag_14,33.625518798828125
encoder,month_sin,30.55663299560547
encoder,water_level_diff,25.021228790283203
encoder,relative_time_idx,22.853931427001953
encoder,water_level_trend_180,21.982990264892578
encoder,doy_cos,20.444868087768555
encoder,water_level_rmean_90,18.058292388916016
encoder,evaporation_sum,16.05171012878418
encoder,modflow_lag_1,14.131149291992188
encoder,water_level_rmean_7,13.08349895477295
encoder,modflow_lag_7,7.65446138381958
encoder,water_level_lag_1,6.596092700958252
encoder,modflow_rmean_7,5.119901180267334
encoder,water_level_rmean_14,1.2247719764709473
static,water_level_target_delta_center,353.0475769042969
static,group_id,347.72113037109375
static,water_level_target_delta_scale,53.278907775878906
static,encoder_length,47.95232009887695
