group,variable,importance
decoder,doy_sin,498.86187744140625
decoder,doy_cos,165.0982208251953
decoder,month_cos,62.52927780151367
decoder,month_sin,43.58260726928711
decoder,relative_time_idx,31.9279727935791
encoder,surface_pressure_mean,131.07513427734375
encoder,water_level_lag_7,68.89066314697266
encoder,modflow_lag_7,62.470115661621094
encoder,evaporation_sum,59.86264419555664
encoder,month_cos,58.37453842163086
encoder,relative_time_idx,56.38658142089844
encoder,total_precipitation_sum,39.29518127441406
encoder,water_level_rmean_180,39.275360107421875
encoder,modflow_scaled,38.81772994995117
encoder,doy_cos,34.600921630859375
encoder,water_level_target_delta,29.442731857299805
encoder,month_sin,27.569412231445312
encoder,modflow_lag_1,22.586849212646484
encoder,2m_temperature_mean,20.854839324951172
encoder,water_level_lag_1,19.996749877929688
encoder,water_level_lag_14,19.253080368041992
encoder,modflow_residual_lag_1,15.21340274810791
encoder,water_level_rmean_90,13.60219955444336
encoder,modflow_rmean_7,12.471488952636719
encoder,water_level_rmean_14,11.435909271240234
encoder,water_level_trend_180,8.23611068725586
encoder,water_level_rmean_7,6.75702428817749
encoder,water_level_diff,3.461048126220703
encoder,doy_sin,2.070279598236084
static,water_level_target_delta_center,458.5472717285156
static,encoder_length,206.82530212402344
static,water_level_target_delta_scale,106.44608306884766
static,group_id,30.18132972717285
