totim,time_step,stress_period,STORAGE_IN,CONSTANT_HEAD_IN,WELLS_IN,RECHARGE_IN,TOTAL_IN,STORAGE_OUT,CONSTANT_HEAD_OUT,WELLS_OUT,RECHARGE_OUT,TOTAL_OUT,IN-OUT,PERCENT_DISCREPANCY,tslen,date,sub_period
31.0,5,0,0.0,47.0254,0.0,14.685,61.7105,0.0,0.0,61.7105,0.0,61.7105,0.0,0.0,5.1667,2015-01-04,2015-2021 (baseline decline)
59.0,4,1,103.7301,0.0,0.0,66.508,170.2381,0.0,108.545,61.7105,0.0,170.2554,-0.01738,-0.01,5.6,2015-02-01,2015-2021 (baseline decline)
90.0,5,2,170.3979,0.0,0.0,19.9367,190.3346,0.0,128.5056,61.7105,0.0,190.216,0.1185,0.06,5.1667,2015-03-01,2015-2021 (baseline decline)
120.0,5,3,170.8929,0.0,0.0,88.8142,259.7071,0.0,196.9399,61.7105,0.0,258.6503,1.0567,0.41,5.0,2015-04-01,2015-2021 (baseline decline)
151.0,5,4,116.7286,0.0,0.0,267.6566,384.3853,0.0,321.7701,61.7105,0.0,383.4806,0.9047,0.24,5.1667,2015-05-01,2015-2021 (baseline decline)
181.0,5,5,275.7582,0.0,0.0,28.3432,304.1014,0.0,241.0885,61.7105,0.0,302.799,1.3025,0.43,5.0,2015-06-01,2015-2021 (baseline decline)
212.0,5,6,235.868,0.0,0.0,40.8383,276.7063,0.0,212.5099,61.7105,0.0,274.2203,2.486,0.9,5.1667,2015-07-01,2015-2021 (baseline decline)
243.0,5,7,203.4275,0.0,0.0,94.4607,297.8882,0.0,234.7786,61.7105,0.0,296.489,1.3992,0.47,5.1667,2015-08-01,2015-2021 (baseline decline)
273.0,5,8,232.077,0.0,0.0,54.0992,286.1761,0.0,224.8301,61.7105,0.0,286.5406,-0.3644,-0.13,5.0,2015-09-01,2015-2021 (baseline decline)
304.0,5,9,206.5702,0.0,0.0,87.4165,293.9867,0.0,231.905,61.7105,0.0,293.6154,0.3712,0.13,5.1667,2015-10-01,2015-2021 (baseline decline)
334.0,5,10,227.3345,0.0,0.0,64.8596,292.1942,0.0,229.3145,61.7105,0.0,291.0249,1.1692,0.4,5.0,2015-11-01,2015-2021 (baseline decline)
365.0,5,11,170.4945,0.0,0.0,179.6293,350.1238,0.0,286.86,61.7105,0.0,348.5705,1.5533,0.44,5.1667,2015-12-01,2015-2021 (baseline decline)
396.0,5,12,223.6046,0.0,0.0,110.1174,333.7219,0.0,270.5486,61.7105,0.0,332.259,1.4629,0.44,5.1667,2016-01-01,2015-2021 (baseline decline)
425.0,4,13,271.8579,0.0,0.0,21.4773,293.3353,0.0,232.412,61.7105,0.0,294.1224,-0.7872,-0.27,5.8,2016-02-01,2015-2021 (baseline decline)
456.0,5,14,212.7204,0.0,0.0,77.6621,290.3825,0.0,225.8793,61.7105,0.0,287.5897,2.7928,0.97,5.1667,2016-03-01,2015-2021 (baseline decline)
486.0,5,15,209.1236,0.0,0.0,101.6735,310.7972,0.0,248.0294,61.7105,0.0,309.7399,1.0573,0.34,5.0,2016-04-01,2015-2021 (baseline decline)
517.0,5,16,216.2228,0.0,0.0,84.2275,300.4503,0.0,238.5501,61.7105,0.0,300.2605,0.1898,0.06,5.1667,2016-05-01,2015-2021 (baseline decline)
547.0,5,17,234.6056,0.0,0.0,55.0049,289.6105,0.0,227.4812,61.7105,0.0,289.1917,0.4188,0.14,5.0,2016-06-01,2015-2021 (baseline decline)
578.0,5,18,234.8641,0.0,0.0,25.1718,260.0359,0.0,195.8355,61.7105,0.0,257.5459,2.4899,0.96,5.1667,2016-07-01,2015-2021 (baseline decline)
609.0,5,19,231.7807,0.0,0.0,9.8446,241.6252,0.0,177.7623,61.7105,0.0,239.4728,2.1524,0.89,5.1667,2016-08-01,2015-2021 (baseline decline)
639.0,5,20,200.5536,0.0,0.0,75.3401,275.8937,0.0,214.6287,61.7105,0.0,276.3392,-0.4454,-0.16,5.0,2016-09-01,2015-2021 (baseline decline)
670.0,5,21,217.0313,0.0,0.0,47.502,264.5333,0.0,202.9065,61.7105,0.0,264.6169,-0.083588,-0.03,5.1667,2016-10-01,2015-2021 (baseline decline)
700.0,5,22,212.809,0.0,0.0,69.1035,281.9125,0.0,220.8036,61.7105,0.0,282.514,-0.6015,-0.21,5.0,2016-11-01,2015-2021 (baseline decline)
731.0,5,23,212.7564,0.0,0.0,66.4104,279.1667,0.0,216.8682,61.7105,0.0,278.5787,0.588,0.21,5.1667,2016-12-01,2015-2021 (baseline decline)
762.0,5,24,146.3454,0.0,0.0,232.6529,378.9983,0.0,315.1323,61.7105,0.0,376.8428,2.1555,0.57,5.1667,2017-01-01,2015-2021 (baseline decline)
790.0,4,25,250.5714,0.0,0.0,118.1949,368.7662,0.0,307.0369,61.7105,0.0,368.7473,0.018921,0.01,5.6,2017-02-01,2015-2021 (baseline decline)
821.0,5,26,203.1396,0.0,0.0,160.747,363.8865,0.0,301.373,61.7105,0.0,363.0834,0.8031,0.22,5.1667,2017-03-01,2015-2021 (baseline decline)
851.0,5,27,246.6046,0.0,0.0,88.2332,334.8379,0.0,272.6821,61.7105,0.0,334.3925,0.4453,0.13,5.0,2017-04-01,2015-2021 (baseline decline)
882.0,5,28,254.1521,0.0,0.0,24.7211,278.8731,0.0,215.2834,61.7105,0.0,276.9939,1.8793,0.68,5.1667,2017-05-01,2015-2021 (baseline decline)
912.0,5,29,242.8234,0.0,0.0,18.2997,261.1231,0.0,198.8072,61.7105,0.0,260.5176,0.6055,0.23,5.0,2017-06-01,2015-2021 (baseline decline)
943.0,5,30,216.4438,0.0,0.0,40.213,256.6568,0.0,193.2674,61.7105,0.0,254.9779,1.6789,0.66,5.1667,2017-07-01,2015-2021 (baseline decline)
974.0,5,31,230.8877,0.0,0.0,6.9259,237.8137,0.0,174.0433,61.7105,0.0,235.7538,2.0599,0.87,5.1667,2017-08-01,2015-2021 (baseline decline)
1004.0,5,32,189.9163,0.0,0.0,96.8391,286.7554,0.0,225.2587,61.7105,0.0,286.9692,-0.2137,-0.07,5.0,2017-09-01,2015-2021 (baseline decline)
1035.0,5,33,237.3667,0.0,0.0,8.6372,246.004,0.0,183.5478,61.7105,0.0,245.2582,0.7457,0.3,5.1667,2017-10-01,2015-2021 (baseline decline)
1065.0,5,34,219.9082,0.0,0.0,37.2021,257.1103,0.0,194.4272,61.7105,0.0,256.1377,0.9726,0.38,5.0,2017-11-01,2015-2021 (baseline decline)
1096.0,5,35,226.6714,0.0,0.0,9.8595,236.5309,0.0,172.7297,61.7105,0.0,234.4402,2.0907,0.89,5.1667,2017-12-01,2015-2021 (baseline decline)
1127.0,5,36,210.1906,0.0,0.0,36.1279,246.3185,0.0,183.6238,61.7105,0.0,245.3343,0.9842,0.4,5.1667,2018-01-01,2015-2021 (baseline decline)
1155.0,4,37,221.0116,0.0,0.0,60.1525,281.1641,0.0,219.9421,61.7105,0.0,281.6526,-0.4884,-0.17,5.6,2018-02-01,2015-2021 (baseline decline)
1186.0,5,38,198.1528,0.0,0.0,81.7623,279.915,0.0,217.5214,61.7105,0.0,279.2319,0.6832,0.24,5.1667,2018-03-01,2015-2021 (baseline decline)
1216.0,5,39,217.0175,0.0,0.0,74.0612,291.0788,0.0,228.0496,61.7105,0.0,289.76,1.3187,0.45,5.0,2018-04-01,2015-2021 (baseline decline)
1247.0,5,40,194.5292,0.0,0.0,117.6,312.1292,0.0,250.2218,61.7105,0.0,311.9322,0.197,0.06,5.1667,2018-05-01,2015-2021 (baseline decline)
1277.0,5,41,256.7444,0.0,0.0,12.9221,269.6665,0.0,206.5535,61.7105,0.0,268.2639,1.4026,0.52,5.0,2018-06-01,2015-2021 (baseline decline)
1308.0,5,42,229.4603,0.0,0.0,16.8602,246.3205,0.0,184.8541,61.7105,0.0,246.5646,-0.2441,-0.1,5.1667,2018-07-01,2015-2021 (baseline decline)
1339.0,5,43,230.7946,0.0,0.0,0.5843,231.3789,0.0,167.9548,61.7105,0.0,229.6653,1.7136,0.74,5.1667,2018-08-01,2015-2021 (baseline decline)
1369.0,5,44,228.6628,0.0,0.0,0.5843,229.2471,0.0,166.5361,61.7105,0.0,228.2466,1.0006,0.44,5.0,2018-09-01,2015-2021 (baseline decline)
1400.0,5,45,141.3523,0.0,0.0,185.5782,326.9305,0.0,264.3201,61.7105,0.0,326.0305,0.9,0.28,5.1667,2018-10-01,2015-2021 (baseline decline)
1430.0,5,46,241.2838,0.0,0.0,53.9225,295.2062,0.0,234.2127,61.7105,0.0,295.9232,-0.7169,-0.24,5.0,2018-11-01,2015-2021 (baseline decline)
1461.0,5,47,225.0417,0.0,0.0,54.5005,279.5422,0.0,216.714,61.7105,0.0,278.4244,1.1178,0.4,5.1667,2018-12-01,2015-2021 (baseline decline)
1492.0,5,48,213.5208,0.0,0.0,73.7991,287.3199,0.0,223.2926,61.7105,0.0,285.0031,2.3167,0.81,5.1667,2019-01-01,2015-2021 (baseline decline)
1520.0,4,49,188.4639,0.0,0.0,174.1039,362.5677,0.0,300.0634,61.7105,0.0,361.7739,0.7939,0.22,5.6,2019-02-01,2015-2021 (baseline decline)
1551.0,5,50,198.2802,0.0,0.0,158.2591,356.5393,0.0,293.4144,61.7105,0.0,355.1248,1.4145,0.4,5.1667,2019-03-01,2015-2021 (baseline decline)
1581.0,5,51,228.641,0.0,0.0,122.4171,351.0581,0.0,288.3811,61.7105,0.0,350.0916,0.9666,0.28,5.0,2019-04-01,2015-2021 (baseline decline)
