totim,time_step,stress_period,STORAGE_IN,CONSTANT_HEAD_IN,WELLS_IN,RECHARGE_IN,TOTAL_IN,STORAGE_OUT,CONSTANT_HEAD_OUT,WELLS_OUT,RECHARGE_OUT,TOTAL_OUT,IN-OUT,PERCENT_DISCREPANCY,tslen,date,sub_period
31.0,5,0,0.0,188.4105,0.0,20.7442,209.1548,0.0,0.0,209.1548,0.0,209.1548,0.0,0.0,5.1667,2015-01-04,2015-2021 (baseline decline)
59.0,4,1,139.7153,10.1351,0.0,93.9498,243.8002,0.0,34.4365,209.1548,0.0,243.5912,0.209,0.09,5.6,2015-02-01,2015-2021 (baseline decline)
90.0,5,2,224.6177,4.2126,0.0,28.1627,256.993,0.0,45.7964,209.1548,0.0,254.9512,2.0418,0.8,5.1667,2015-03-01,2015-2021 (baseline decline)
120.0,5,3,219.6481,0.0,0.0,125.4598,345.1079,0.0,135.1841,209.1548,0.0,344.3389,0.7691,0.22,5.0,2015-04-01,2015-2021 (baseline decline)
151.0,5,4,147.489,0.0,0.0,378.0944,525.5834,0.0,314.6379,209.1548,0.0,523.7927,1.7907,0.34,5.1667,2015-05-01,2015-2021 (baseline decline)
181.0,5,5,357.9366,0.0,0.0,40.0379,397.9745,0.0,188.0144,209.1548,0.0,397.1691,0.8053,0.2,5.0,2015-06-01,2015-2021 (baseline decline)
212.0,5,6,299.1101,0.0,0.0,57.6886,356.7987,0.0,146.5498,209.1548,0.0,355.7045,1.0941,0.31,5.1667,2015-07-01,2015-2021 (baseline decline)
243.0,5,7,256.2251,0.0,0.0,133.4361,389.6611,0.0,179.3988,209.1548,0.0,388.5535,1.1076,0.28,5.1667,2015-08-01,2015-2021 (baseline decline)
273.0,5,8,295.7128,0.0,0.0,76.421,372.1339,0.0,162.5595,209.1548,0.0,371.7142,0.4196,0.11,5.0,2015-09-01,2015-2021 (baseline decline)
304.0,5,9,259.9849,0.0,0.0,123.4854,383.4703,0.0,174.405,209.1548,0.0,383.5598,-0.089478,-0.02,5.1667,2015-10-01,2015-2021 (baseline decline)
